Time[s], SCK, MOSI, MISO, nCS FPGA, nCS Flash, nCS Radio
-1.933898950000000, 0, 0, 0, 0, 0, 0
-0.000265850000000, 1, 0, 0, 0, 0, 0
-0.000265725000000, 1, 0, 0, 0, 0, 1
0.000000000000000, 1, 0, 0, 0, 0, 0
0.000000025000000, 1, 0, 1, 0, 0, 0
0.000000250000000, 1, 0, 1, 0, 0, 1
0.000000300000000, 1, 0, 0, 0, 0, 1
0.000000575000000, 1, 0, 0, 0, 1, 1
0.000000675000000, 1, 0, 0, 1, 1, 1
0.000000825000000, 1, 1, 0, 1, 1, 1
0.000000900000000, 1, 1, 1, 1, 1, 1
0.003440550000000, 0, 1, 1, 1, 1, 1
0.003440750000000, 1, 1, 1, 1, 1, 1
0.003441150000000, 0, 0, 1, 1, 1, 1
0.003441550000000, 1, 0, 1, 1, 1, 1
0.003441950000000, 0, 0, 1, 1, 0, 1
0.003442325000000, 1, 0, 1, 1, 0, 1
0.003442725000000, 0, 0, 1, 1, 0, 1
0.003443125000000, 1, 0, 1, 1, 0, 1
0.003443525000000, 0, 0, 1, 1, 0, 1
0.003443925000000, 1, 0, 1, 1, 0, 1
0.003444325000000, 0, 0, 1, 1, 0, 1
0.003444725000000, 1, 0, 1, 1, 0, 1
0.003445125000000, 0, 1, 1, 1, 0, 1
0.003445525000000, 1, 1, 1, 1, 0, 1
0.003445925000000, 0, 0, 1, 1, 0, 1
0.003446325000000, 1, 0, 1, 1, 0, 1
0.003446725000000, 0, 1, 1, 1, 0, 1
0.003447125000000, 1, 1, 1, 1, 0, 1
0.003447525000000, 0, 1, 1, 1, 0, 1
0.003447925000000, 1, 1, 1, 1, 0, 1
0.003448325000000, 0, 0, 1, 1, 0, 1
0.003448700000000, 1, 0, 1, 1, 0, 1
0.003449125000000, 0, 0, 1, 1, 0, 1
0.003449500000000, 1, 0, 1, 1, 0, 1
0.003449900000000, 0, 0, 1, 1, 0, 1
0.003450300000000, 1, 0, 1, 1, 0, 1
0.003450700000000, 0, 0, 1, 1, 0, 1
0.003451100000000, 1, 0, 1, 1, 0, 1
0.003451500000000, 0, 0, 1, 1, 0, 1
0.003451900000000, 1, 0, 1, 1, 0, 1
0.003452300000000, 0, 0, 1, 1, 0, 1
0.003452700000000, 1, 0, 1, 1, 0, 1
0.003453100000000, 0, 0, 1, 1, 0, 1
0.003453500000000, 1, 0, 1, 1, 0, 1
0.003453900000000, 0, 0, 1, 1, 0, 1
0.003454300000000, 1, 0, 1, 1, 0, 1
0.003454700000000, 0, 0, 1, 1, 0, 1
0.003455100000000, 1, 0, 1, 1, 0, 1
0.003455500000000, 0, 0, 1, 1, 0, 1
0.003455900000000, 1, 0, 1, 1, 0, 1
0.003456300000000, 0, 0, 1, 1, 0, 1
0.003456700000000, 1, 0, 1, 1, 0, 1
0.003457100000000, 0, 0, 1, 1, 0, 1
0.003457500000000, 1, 0, 1, 1, 0, 1
0.003457900000000, 0, 0, 1, 1, 0, 1
0.003458275000000, 1, 0, 1, 1, 0, 1
0.003458700000000, 0, 0, 1, 1, 0, 1
0.003459075000000, 1, 0, 1, 1, 0, 1
0.003459500000000, 0, 0, 1, 1, 0, 1
0.003459875000000, 1, 0, 1, 1, 0, 1
0.003460300000000, 0, 0, 1, 1, 0, 1
0.003460675000000, 1, 0, 1, 1, 0, 1
0.003461100000000, 0, 0, 1, 1, 0, 1
0.003461475000000, 1, 0, 1, 1, 0, 1
0.003461900000000, 0, 0, 1, 1, 0, 1
0.003462275000000, 1, 0, 1, 1, 0, 1
0.003462700000000, 0, 0, 1, 1, 0, 1
0.003463075000000, 1, 0, 1, 1, 0, 1
0.003463500000000, 0, 0, 1, 1, 0, 1
0.003463900000000, 1, 0, 1, 1, 0, 1
0.003464300000000, 0, 0, 1, 1, 0, 1
0.003464700000000, 1, 0, 1, 1, 0, 1
0.003465100000000, 0, 0, 1, 1, 0, 1
0.003465500000000, 1, 0, 1, 1, 0, 1
0.003465900000000, 0, 0, 1, 1, 0, 1
0.003466300000000, 1, 0, 1, 1, 0, 1
0.003466700000000, 0, 0, 1, 1, 0, 1
0.003467100000000, 1, 0, 1, 1, 0, 1
0.003467500000000, 0, 0, 1, 1, 0, 1
0.003467900000000, 1, 0, 1, 1, 0, 1
0.003468300000000, 0, 0, 1, 1, 0, 1
0.003468700000000, 1, 0, 1, 1, 0, 1
0.003469100000000, 0, 0, 1, 1, 0, 1
0.003469500000000, 1, 0, 1, 1, 0, 1
0.003469900000000, 0, 0, 1, 1, 0, 1
0.003470300000000, 1, 0, 1, 1, 0, 1
0.003470700000000, 0, 0, 1, 1, 0, 1
0.003471100000000, 1, 0, 1, 1, 0, 1
0.003471525000000, 0, 0, 1, 1, 0, 1
0.003471900000000, 1, 0, 1, 1, 0, 1
0.003472325000000, 0, 0, 1, 1, 0, 1
0.003472725000000, 1, 0, 1, 1, 0, 1
0.003473125000000, 0, 0, 1, 1, 0, 1
0.003473525000000, 1, 0, 1, 1, 0, 1
0.003473925000000, 0, 0, 0, 1, 0, 1
0.003474325000000, 1, 0, 0, 1, 0, 1
0.003474725000000, 0, 0, 0, 1, 0, 1
0.003475125000000, 1, 0, 0, 1, 0, 1
0.003475525000000, 0, 0, 0, 1, 0, 1
0.003475925000000, 1, 0, 0, 1, 0, 1
0.003476325000000, 0, 0, 0, 1, 0, 1
0.003476725000000, 1, 0, 0, 1, 0, 1
0.003477150000000, 0, 0, 0, 1, 0, 1
0.003477550000000, 1, 0, 0, 1, 0, 1
0.003477950000000, 0, 0, 0, 1, 0, 1
0.003478350000000, 1, 0, 0, 1, 0, 1
0.003478750000000, 0, 0, 0, 1, 0, 1
0.003479150000000, 1, 0, 0, 1, 0, 1
0.003479550000000, 0, 0, 0, 1, 0, 1
0.003479950000000, 1, 0, 0, 1, 0, 1
0.003480350000000, 0, 0, 0, 1, 0, 1
0.003480750000000, 1, 0, 0, 1, 0, 1
0.003481150000000, 0, 0, 0, 1, 0, 1
0.003481550000000, 1, 0, 0, 1, 0, 1
0.003481975000000, 0, 0, 0, 1, 0, 1
0.003482375000000, 1, 0, 0, 1, 0, 1
0.003482775000000, 0, 0, 0, 1, 0, 1
0.003483175000000, 1, 0, 0, 1, 0, 1
0.003483575000000, 0, 0, 1, 1, 0, 1
0.003483975000000, 1, 0, 1, 1, 0, 1
0.003484375000000, 0, 0, 0, 1, 0, 1
0.003484775000000, 1, 0, 0, 1, 0, 1
0.003485175000000, 0, 0, 0, 1, 0, 1
0.003485575000000, 1, 0, 0, 1, 0, 1
0.003486000000000, 0, 0, 1, 1, 0, 1
0.003486400000000, 1, 0, 1, 1, 0, 1
0.003486800000000, 0, 0, 0, 1, 0, 1
0.003487200000000, 1, 0, 0, 1, 0, 1
0.003487600000000, 0, 0, 0, 1, 0, 1
0.003488000000000, 1, 0, 0, 1, 0, 1
0.003488400000000, 0, 0, 0, 1, 0, 1
0.003488800000000, 1, 0, 0, 1, 0, 1
0.003489200000000, 0, 0, 0, 1, 0, 1
0.003489600000000, 1, 0, 0, 1, 0, 1
0.003490025000000, 0, 0, 1, 1, 0, 1
0.003490425000000, 1, 0, 1, 1, 0, 1
0.003490825000000, 0, 0, 1, 1, 0, 1
0.003491225000000, 1, 0, 1, 1, 0, 1
0.003491625000000, 0, 0, 1, 1, 0, 1
0.003492025000000, 1, 0, 1, 1, 0, 1
0.003492425000000, 0, 0, 1, 1, 0, 1
0.003492825000000, 1, 0, 1, 1, 0, 1
0.003493225000000, 0, 0, 1, 1, 0, 1
0.003493625000000, 1, 0, 1, 1, 0, 1
0.003494050000000, 0, 0, 1, 1, 0, 1
0.003494450000000, 1, 0, 1, 1, 0, 1
0.003494850000000, 0, 0, 1, 1, 0, 1
0.003495250000000, 1, 0, 1, 1, 0, 1
0.003495650000000, 0, 0, 1, 1, 0, 1
0.003496050000000, 1, 0, 1, 1, 0, 1
0.003496450000000, 0, 0, 0, 1, 0, 1
0.003496850000000, 1, 0, 0, 1, 0, 1
0.003497250000000, 0, 0, 0, 1, 0, 1
0.003497650000000, 1, 0, 0, 1, 0, 1
0.003498075000000, 0, 0, 0, 1, 0, 1
0.003498450000000, 1, 0, 0, 1, 0, 1
0.003498875000000, 0, 0, 0, 1, 0, 1
0.003499275000000, 1, 0, 0, 1, 0, 1
0.003499675000000, 0, 0, 0, 1, 0, 1
0.003500075000000, 1, 0, 0, 1, 0, 1
0.003500475000000, 0, 0, 0, 1, 0, 1
0.003500875000000, 1, 0, 0, 1, 0, 1
0.003501275000000, 0, 0, 0, 1, 0, 1
0.003501675000000, 1, 0, 0, 1, 0, 1
0.003502075000000, 0, 0, 0, 1, 0, 1
0.003502475000000, 1, 0, 0, 1, 0, 1
0.003502900000000, 0, 0, 1, 1, 0, 1
0.003503300000000, 1, 0, 1, 1, 0, 1
0.003503700000000, 0, 0, 1, 1, 0, 1
0.003504100000000, 1, 0, 1, 1, 0, 1
0.003504500000000, 0, 0, 1, 1, 0, 1
0.003504900000000, 1, 0, 1, 1, 0, 1
0.003505300000000, 0, 0, 1, 1, 0, 1
0.003505700000000, 1, 0, 1, 1, 0, 1
0.003506100000000, 0, 0, 1, 1, 0, 1
0.003506500000000, 1, 0, 1, 1, 0, 1
0.003506925000000, 0, 0, 1, 1, 0, 1
0.003507325000000, 1, 0, 1, 1, 0, 1
0.003507725000000, 0, 0, 1, 1, 0, 1
0.003508125000000, 1, 0, 1, 1, 0, 1
0.003508525000000, 0, 0, 1, 1, 0, 1
0.003508925000000, 1, 0, 1, 1, 0, 1
0.003509325000000, 0, 0, 0, 1, 0, 1
0.003509725000000, 1, 0, 0, 1, 0, 1
0.003510125000000, 0, 0, 0, 1, 0, 1
0.003510525000000, 1, 0, 0, 1, 0, 1
0.003510950000000, 0, 0, 0, 1, 0, 1
0.003511350000000, 1, 0, 0, 1, 0, 1
0.003511750000000, 0, 0, 0, 1, 0, 1
0.003512150000000, 1, 0, 0, 1, 0, 1
0.003512550000000, 0, 0, 0, 1, 0, 1
0.003512950000000, 1, 0, 0, 1, 0, 1
0.003513350000000, 0, 0, 0, 1, 0, 1
