seed edbe610dfd4e71aa
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.198895 0.008128 0.000209
3.215594 0.008497 0.000229
3.232243 0.012813 0.000757
3.249124 0.007905 0.000964
3.265541 0.003745 0.000357
3.282262 0.006029 0.000455
3.298984 0.015260 0.000955
3.315526 0.007134 0.000802
3.332152 0.019833 0.000710
3.349172 0.009661 0.000506
3.365704 0.009638 0.000394
3.382482 0.006236 0.000550
3.398749 0.007093 0.000323
3.415715 0.009199 0.000564
3.432133 0.014190 0.000559
3.448869 0.003866 0.000673
3.465515 0.009113 0.000498
3.482216 0.003772 0.000216
3.498772 0.010224 0.000448
3.515577 0.003339 0.000362
3.532124 0.012367 0.000651
3.548859 0.009895 0.000270
3.565531 0.015881 0.000429
3.582251 0.002702 0.000782
3.598764 0.006341 0.000259
3.615448 0.002959 0.000296
3.632122 0.004637 0.000334
3.648718 0.012013 0.000416
3.665471 0.011012 0.000249
3.682239 0.005447 0.000196
3.698896 0.001712 0.000240
3.715423 0.005769 0.000424
3.732089 0.007799 0.000260
3.748816 0.008354 0.000725
3.765374 0.011603 0.000117
3.782120 0.010337 0.000141
3.798692 0.011164 0.000607
3.815388 0.007051 0.000197
3.832012 0.011101 0.000790
3.848787 0.005055 0.000596
3.865345 0.023242 0.001193
3.882075 0.003899 0.000968
3.899072 0.007947 0.000446
3.915929 0.005601 0.000214
3.932329 0.012315 0.000422
3.949161 0.009108 0.000927
3.965634 0.003687 0.000429
3.982548 0.004013 0.000137
3.999060 0.009547 0.000435
4.015870 0.014616 0.001020
4.032300 0.003383 0.000732
4.049109 0.013823 0.000432
4.065801 0.006315 0.000429
4.082436 0.002447 0.000388
4.098780 0.005289 0.000385
4.115764 0.005350 0.000140
4.132393 0.014250 0.000822
4.149022 0.006915 0.000721
4.165836 0.008001 0.000363
4.182312 0.003204 0.000512
4.199064 0.002923 0.000306
4.216068 0.012368 0.000713
4.232259 0.002496 0.000615
4.249117 0.008562 0.000703
4.265785 0.015108 0.000753
4.282439 0.015108 0.000000
4.298938 0.018899 0.000294
4.316017 0.027771 0.000526
4.332440 0.013466 0.000518
4.349672 0.012524 0.000411
4.365640 0.008525 0.000390
4.382283 0.002363 0.000112
4.398930 0.007917 0.000339
4.415696 0.004102 0.000459
4.432243 0.005345 0.000163
4.449052 0.013288 0.000458
4.465870 0.006778 0.000401
4.482472 0.013530 0.000531
4.498750 0.003152 0.000576
4.515556 0.011730 0.000651
4.532189 0.006833 0.000716
4.549240 0.005413 0.000466
4.565528 0.007755 0.000554
4.582340 0.003814 0.000184
4.599770 0.008985 0.000327
4.615855 0.002137 0.000484
4.632446 0.009591 0.000442
4.648383 0.002243 0.000574
4.665485 0.003394 0.000137
4.682085 0.009255 0.000553
4.699811 0.004175 0.000244
4.716928 0.006810 0.000273
4.732733 0.005603 0.000518
4.748645 0.008347 0.000395
4.765333 0.010464 0.000318
4.782295 0.004175 0.000295
4.798746 0.004471 0.000381
4.815622 0.009296 0.000696
4.831896 0.007065 0.000205
4.848559 0.003917 0.000503
4.865324 0.001620 0.000315
4.882778 0.001782 0.000140
4.899579 0.004980 0.000215
4.915625 0.004487 0.000266
4.932114 0.006007 0.000373
4.948425 0.002870 0.000200
4.970492 0.006323 0.000399
4.982448 0.008641 0.000165
5.000956 0.007448 0.000166
Speed: 10
0.018809 0.002145 0.000115
0.033493 0.008276 0.000340
0.050299 0.009027 0.000359
0.067028 0.002430 0.000501
0.084265 0.006438 0.000388
0.101506 0.008918 0.000231
0.116759 0.013569 0.000425
0.133239 0.029695 0.000912
0.149912 0.077814 0.002722
0.167236 0.112344 0.002211
0.184067 0.096075 0.000706
0.200511 0.108802 0.001808
0.219830 0.094737 0.000599
0.233720 0.138257 0.003630
0.252606 0.144319 0.002000
0.266938 0.133658 0.001485
0.283486 0.194843 0.005132
0.300512 0.165036 0.000853
0.317110 0.104296 0.000638
0.333212 0.080383 0.001394
0.350199 0.101449 0.003145
0.366788 0.111937 0.002683
0.383620 0.104627 0.001389
0.400458 0.121700 0.003371
0.417031 0.128779 0.001887
0.433821 0.083596 0.001416
0.450019 0.112363 0.003285
0.468989 0.125221 0.002668
0.483696 0.123359 0.001754
0.503242 0.138523 0.002733
0.517228 0.176816 0.003851
0.533299 0.139827 0.000398
0.549905 0.123760 0.001527
0.566899 0.093564 0.001016
0.583590 0.120099 0.003637
0.600113 0.111369 0.001570
0.616606 0.117063 0.002409
0.633529 0.156917 0.003774
0.650329 0.131587 0.001288
0.666818 0.120825 0.001694
0.683425 0.113425 0.002147
0.700460 0.116135 0.001833
0.717629 0.125919 0.002597
0.733497 0.134543 0.002437
0.752635 0.140647 0.002348
0.766923 0.141588 0.002464
0.789766 0.137831 0.002030
0.800735 0.108750 0.000915
0.818439 0.085873 0.001080
0.836307 0.109572 0.003151
0.850247 0.138135 0.003300
0.871454 0.148261 0.002485
0.886030 0.153249 0.002393
0.900203 0.109348 0.000080
