seed 4f46adc760541d68
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.198934 0.008154 0.001210
3.215597 0.015428 0.000974
3.232405 0.016819 0.000330
3.248992 0.031406 0.001043
3.265721 0.025436 0.002582
3.282256 0.012671 0.001905
3.298907 0.010123 0.000414
3.315594 0.023973 0.000858
3.332304 0.007337 0.001487
3.348818 0.019779 0.001357
3.365639 0.009302 0.001390
3.382522 0.005761 0.000886
3.398990 0.012518 0.000511
3.415744 0.012406 0.000557
3.432476 0.006232 0.000866
3.448868 0.026794 0.000971
3.465823 0.022343 0.000400
3.482330 0.023164 0.001785
3.498963 0.023164 0.000000
3.515650 0.021088 0.000756
3.532206 0.022502 0.000154
3.548846 0.023675 0.000396
3.565459 0.026104 0.000385
3.582214 0.024841 0.000628
3.598942 0.018768 0.000036
3.615456 0.026324 0.001849
3.632233 0.027299 0.000595
3.648839 0.031568 0.000180
3.665576 0.021725 0.000430
3.682068 0.018044 0.000088
3.698888 0.023697 0.000582
3.715443 0.013392 0.000560
3.732293 0.011141 0.000143
3.748795 0.036392 0.002044
3.765678 0.004616 0.001838
3.782066 0.006263 0.000160
3.798800 0.016479 0.000648
3.815438 0.022310 0.001721
3.832120 0.008028 0.001442
3.848817 0.004883 0.000174
3.865464 0.015517 0.000796
3.882081 0.017012 0.001646
3.898780 0.008155 0.000523
3.915381 0.039745 0.001720
3.931070 0.001390 0.001899
3.947516 0.012960 0.000816
3.964321 0.001649 0.000500
3.980905 0.031527 0.001563
3.997551 0.009911 0.001398
4.014364 0.019067 0.001251
4.031982 0.013241 0.001956
4.048723 0.012546 0.000820
4.065295 0.014172 0.000322
4.081990 0.012907 0.000735
4.098739 0.023450 0.000579
4.115231 0.014499 0.001238
4.132086 0.013026 0.000463
4.148581 0.013561 0.000502
4.165414 0.012436 0.000127
4.181987 0.022175 0.001210
4.198723 0.039137 0.001370
4.215206 0.014338 0.002683
4.232197 0.017994 0.000797
4.248798 0.021703 0.001106
4.265597 0.005988 0.001196
4.282238 0.006175 0.000305
4.299114 0.015311 0.000940
4.315459 0.009332 0.001309
4.331956 0.013695 0.001230
4.348769 0.011707 0.000731
4.368811 0.021314 0.001504
4.382039 0.011071 0.000519
4.399085 0.009128 0.000338
4.415518 0.015278 0.000919
4.432337 0.022042 0.000397
4.448637 0.011719 0.001437
4.465523 0.024630 0.001318
4.481884 0.014090 0.000678
4.498640 0.013225 0.000908
4.515218 0.029168 0.001040
4.531881 0.010449 0.001957
4.548794 0.036860 0.002529
4.565609 0.030073 0.001105
4.583612 0.007868 0.001057
4.598508 0.015182 0.000813
4.620434 0.011001 0.001469
4.632253 0.026761 0.001935
4.652056 0.009946 0.000921
4.665273 0.015302 0.000421
4.681921 0.026139 0.000790
4.698517 0.012110 0.000724
4.715318 0.016709 0.001047
4.731849 0.011284 0.000619
4.748503 0.021024 0.000924
4.765132 0.011300 0.000596
4.781909 0.015125 0.000752
4.798591 0.016133 0.000645
4.815152 0.012169 0.000846
4.832352 0.005673 0.000296
4.848746 0.010232 0.000787
4.865109 0.003004 0.000510
4.881834 0.018580 0.000726
4.901387 0.021431 0.000134
4.915394 0.016035 0.000317
4.931857 0.014402 0.001435
4.948603 0.004180 0.000908
4.965149 0.009932 0.000519
4.981832 0.001687 0.000415
4.998866 0.008605 0.000502
5.015397 0.005661 0.000808
Speed: 10
0.016581 0.015593 0.000446
0.032935 0.013497 0.000481
0.050577 0.009486 0.000868
0.066341 0.010281 0.000948
0.084255 0.005401 0.000617
0.099675 0.006000 0.000176
0.116465 0.019931 0.000797
0.132980 0.011998 0.000472
0.149856 0.026868 0.000998
0.166312 0.081020 0.003447
0.183138 0.119175 0.002300
0.199836 0.123803 0.000953
0.216532 0.095006 0.000997
0.234792 0.129630 0.003290
0.250021 0.139737 0.002351
0.267571 0.128658 0.001183
0.283081 0.086207 0.000737
0.299538 0.078230 0.001511
0.316322 0.116670 0.003893
0.332961 0.112756 0.001455
0.349559 0.127476 0.002558
0.366322 0.153012 0.003148
0.382931 0.158371 0.002316
0.399585 0.113897 0.000226
0.416146 0.138279 0.003510
0.434064 0.143308 0.002684
0.450093 0.149026 0.002698
0.468784 0.164235 0.003098
0.483497 0.161380 0.002243
0.500584 0.113570 0.000106
0.517283 0.099697 0.001787
0.534141 0.133925 0.004039
0.549567 0.114851 0.001242
0.566182 0.098889 0.001398
0.582747 0.135031 0.004717
0.599532 0.102408 0.000608
0.616160 0.091385 0.001545
0.633124 0.086245 0.001879
0.649593 0.109226 0.003071
0.666317 0.122553 0.002426
0.682828 0.145315 0.002951
0.699603 0.129879 0.001259
0.716228 0.111259 0.001087
0.733044 0.095326 0.001496
0.749597 0.124356 0.003440
0.766262 0.118218 0.001703
0.782913 0.144075 0.003298
0.799498 0.162925 0.002993
0.816311 0.124682 0.000568
0.832797 0.078146 0.000731
0.849477 0.095468 0.003288
0.866240 0.096902 0.002049
0.882817 0.117654 0.002868
0.899466 0.116991 0.001762
0.916194 0.169623 0.004624
0.932811 0.134503 0.000119
0.949469 0.104270 0.000618
0.966204 0.092871 0.001639
0.982774 0.138340 0.004349
0.999575 0.123046 0.001319
1.016089 0.109673 0.001296
1.032890 0.120941 0.002638
1.049424 0.121175 0.001992
1.066194 0.103557 0.001411
1.082789 0.114673 0.002522
1.099556 0.100588 0.001197
1.116023 0.133996 0.003747
1.132821 0.159593 0.003212
1.149446 0.162011 0.002241
1.166071 0.125494 0.000556
1.182810 0.114801 0.001757
1.199471 0.144756 0.003839
1.216068 0.143597 0.002117
1.234004 0.117719 0.001002
1.249541 0.143065 0.003598
1.266072 0.123970 0.001251
1.282655 0.093619 0.000987
1.299412 0.099885 0.002461
1.316121 0.125966 0.003307
1.332647 0.126997 0.002034
1.349497 0.116232 0.001391
1.366029 0.125371 0.002461
1.382619 0.124334 0.002052
1.399419 0.114409 0.001511
1.416054 0.115552 0.002093
1.432694 0.139943 0.003288
1.449264 0.128555 0.001434
1.466206 0.182586 0.004935
1.483614 0.143519 0.000337
1.499596 0.112513 0.000872
1.517070 0.097761 0.001564
1.533030 0.126502 0.003624
1.550463 0.097869 0.000625
1.566094 0.109055 0.002581
1.582446 0.138407 0.003561
1.599478 0.123976 0.001177
1.616201 0.101964 0.000944
1.633902 0.116525 0.002820
1.651583 0.130623 0.002678
1.665778 0.118713 0.001370
1.682542 0.131564 0.002671
1.699121 0.140565 0.002547
1.715760 0.109633 0.000961
1.732555 0.090035 0.001072
1.749161 0.108882 0.002965
1.765695 0.110770 0.001889
1.782514 0.123822 0.002581
1.799180 0.147983 0.003155
1.816305 0.176141 0.003470
1.833554 0.127452 0.000737
1.849041 0.096741 0.000973
1.865720 0.113544 0.003082
1.882431 0.128591 0.003099
1.899072 0.111651 0.001037
1.915674 0.156691 0.004559
1.933624 0.150377 0.001707
1.951035 0.094860 0.001427
1.965676 0.091934 0.002048
1.982295 0.118864 0.003574
2.000164 0.114157 0.001764
2.015735 0.101497 0.001274
2.032274 0.161216 0.005134
2.048926 0.156397 0.001666
2.065877 0.095983 0.001656
2.083324 0.117668 0.003328
2.099902 0.122826 0.002321
2.115664 0.116269 0.001677
2.132351 0.167783 0.004743
2.149132 0.139541 0.000585
2.165745 0.122502 0.001361
2.183873 0.103153 0.001259
2.198916 0.129248 0.003546
2.215787 0.102500 0.000990
2.232280 0.102258 0.002040
2.249060 0.132928 0.003532
2.265540 0.142778 0.002446
2.282431 0.119696 0.000816
2.298892 0.112298 0.001736
2.315639 0.121900 0.002663
2.332289 0.136830 0.002788
2.349048 0.126877 0.001534
2.365499 0.164553 0.004075
2.382403 0.150351 0.001556
2.398914 0.114085 0.000605
2.415640 0.123948 0.002953
2.432283 0.102668 0.001092
2.449106 0.144646 0.004392
2.465542 0.153471 0.002473
2.482165 0.124088 0.000660
2.498924 0.096637 0.000825
2.517365 0.105584 0.002795
2.532204 0.116540 0.002555
2.548915 0.115376 0.001871
2.565502 0.173742 0.004990
2.582133 0.148654 0.000771
2.598855 0.102299 0.000212
2.615633 0.106325 0.002488
2.632090 0.128202 0.003177
2.648899 0.129741 0.002166
2.665640 0.139305 0.002558
2.682192 0.151634 0.002800
2.698841 0.120228 0.000622
2.715547 0.112835 0.001983
2.732292 0.137942 0.003505
2.748801 0.149457 0.002732
2.767530 0.139689 0.001708
2.782272 0.169218 0.003887
2.798691 0.132796 0.000630
2.817559 0.111348 0.001306
2.832143 0.114698 0.002513
2.848757 0.108155 0.001857
2.865453 0.119758 0.002692
2.882239 0.129753 0.002553
2.898763 0.128337 0.001923
2.915546 0.102520 0.000726
2.932153 0.105203 0.002202
2.948849 0.125304 0.002960
2.965389 0.134586 0.002721
2.982343 0.139913 0.002286
2.998784 0.140152 0.002207
3.015398 0.126373 0.001517
3.032113 0.135544 0.002754
3.048819 0.137588 0.002331
3.065402 0.123867 0.001493
3.082091 0.141990 0.003197
3.098816 0.141941 0.002195
3.115388 0.140489 0.002235
3.131921 0.111067 0.000760
3.148680 0.086863 0.001052
3.165249 0.108699 0.003219
3.181905 0.095803 0.001243
3.198610 0.116509 0.003107
3.216211 0.130119 0.002572
3.231865 0.126936 0.001711
3.248634 0.111484 0.001148
3.265247 0.110157 0.001923
3.281952 0.110157 0.000000
3.298461 0.118582 0.004969
3.315455 0.137211 0.003016
3.331995 0.135659 0.001936
3.348667 0.090443 0.000976
3.365383 0.081860 0.001686
3.382052 0.093219 0.002506
3.398619 0.106133 0.002468
3.415415 0.115779 0.002264
3.432004 0.149926 0.003546
3.448605 0.149284 0.001842
3.465400 0.128900 0.000997
3.482050 0.116338 0.001527
3.498545 0.125812 0.002657
3.515234 0.157273 0.003755
3.532040 0.143376 0.001430
3.548479 0.138958 0.002060
3.565042 0.108982 0.000743
3.582184 0.106576 0.002229
3.598465 0.102604 0.001896
3.615111 0.109043 0.002338
3.631830 0.125849 0.002802
3.648436 0.117746 0.001523
3.665090 0.141588 0.003200
3.681824 0.103245 0.000589
3.698437 0.197005 0.004814
3.715222 0.182838 0.000691
3.731754 0.196028 0.002828
3.748504 0.211917 0.003243
3.765259 0.157896 0.000317
3.781858 0.146266 0.002316
3.798607 0.148675 0.002905
3.815253 0.148675 0.000000
3.831772 0.128555 0.003588
3.848763 0.158710 0.004082
3.865270 0.136759 0.001325
3.881929 0.102841 0.000730
3.898535 0.103748 0.002310
3.915300 0.115451 0.002821
3.931854 0.101724 0.001281
3.948455 0.100975 0.001923
3.965186 0.145521 0.004213
3.981842 0.124878 0.001264
3.998413 0.079488 0.000796
4.015298 0.107875 0.003523
4.031803 0.111833 0.002113
4.048394 0.115209 0.001982
4.065180 0.125732 0.002402
4.081861 0.154563 0.003405
4.098359 0.114142 0.000175
4.115152 0.092316 0.001263
4.137530 0.120255 0.003492
4.149070 0.128250 0.002349
4.164907 0.143668 0.002785
4.181705 0.152260 0.002505
4.198298 0.142473 0.001845
4.214922 0.095504 0.000688
4.231797 0.103873 0.003268
4.248292 0.128416 0.002857
