seed 0625df82b164592b
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.198991 0.009340 0.000977
3.215616 0.005260 0.000290
3.233476 0.004910 0.000449
3.248994 0.012572 0.000372
3.266785 0.007761 0.000624
3.282383 0.016476 0.000750
3.300108 0.005765 0.001673
3.315618 0.006957 0.001375
3.333536 0.014554 0.001265
3.349022 0.009245 0.001110
3.367075 0.012534 0.000125
3.382181 0.010603 0.001624
3.398973 0.002115 0.001088
3.415587 0.009049 0.000534
3.432228 0.011684 0.000406
3.448932 0.017152 0.000549
3.465671 0.010234 0.001135
3.482255 0.012834 0.000390
3.499025 0.010101 0.001618
3.515641 0.008353 0.000894
3.533939 0.009183 0.000480
3.549772 0.011526 0.000646
3.566209 0.004055 0.001011
3.582500 0.015555 0.001076
3.599334 0.012699 0.002509
3.615480 0.004466 0.001143
3.638479 0.002653 0.000304
3.648681 0.007848 0.000305
3.666237 0.005010 0.000809
3.683612 0.014601 0.001477
3.699561 0.003224 0.001384
3.716664 0.004336 0.000688
3.732191 0.011649 0.001067
3.748911 0.016807 0.000148
3.765446 0.014269 0.000515
3.784328 0.020395 0.000692
3.798833 0.009669 0.000821
3.816827 0.008845 0.000600
3.832070 0.017138 0.000469
3.848804 0.007547 0.001214
3.865397 0.003948 0.000357
3.882216 0.010709 0.000608
3.898740 0.018275 0.000530
3.915559 0.013971 0.000488
3.932162 0.019800 0.001893
3.948893 0.012429 0.001394
3.965762 0.018013 0.000747
3.982004 0.018574 0.000699
3.998826 0.016893 0.000562
4.015379 0.014629 0.001059
4.032061 0.006374 0.000799
4.048728 0.021515 0.001184
4.065339 0.004516 0.001602
4.082070 0.011964 0.000966
4.098670 0.012039 0.000195
4.115349 0.012310 0.000229
4.131954 0.008194 0.001207
4.148776 0.021262 0.001748
4.165293 0.012300 0.001150
4.181950 0.018753 0.000699
4.198553 0.002247 0.001651
4.215527 0.006763 0.000925
4.231921 0.004020 0.000410
4.248574 0.008355 0.000243
4.265319 0.009692 0.000608
4.282202 0.012722 0.000435
4.298525 0.014781 0.000460
4.315339 0.012286 0.000246
4.331937 0.005620 0.000361
4.348625 0.002676 0.000185
4.365285 0.003912 0.000333
4.381881 0.011214 0.000428
4.398551 0.006169 0.000883
4.415262 0.004151 0.000741
4.431921 0.006047 0.000541
4.448550 0.005121 0.000815
4.465176 0.003374 0.000741
4.481991 0.005372 0.000343
4.498595 0.007160 0.000137
4.515203 0.009561 0.001253
4.532108 0.020122 0.000561
4.548589 0.026319 0.000793
4.566013 0.010450 0.001470
4.582784 0.012715 0.001240
4.599111 0.008231 0.001330
4.616046 0.017292 0.001035
4.632276 0.013252 0.001579
4.649378 0.021371 0.000531
4.665763 0.013507 0.000821
4.682669 0.011317 0.000253
4.699071 0.020057 0.000861
4.716016 0.009832 0.001691
4.732274 0.009325 0.001889
4.750218 0.009819 0.001587
4.766148 0.005402 0.000768
4.783362 0.006417 0.000730
4.799266 0.005092 0.000451
4.818027 0.006583 0.000218
4.832563 0.008804 0.000224
4.849834 0.007027 0.000643
4.866088 0.005334 0.000412
4.882803 0.008665 0.000377
4.899865 0.004148 0.000396
4.916322 0.009547 0.000889
4.932747 0.009858 0.000673
4.948983 0.017257 0.001314
4.966014 0.004637 0.001121
4.982328 0.012355 0.000884
4.999236 0.003747 0.001172
5.015739 0.015054 0.000624
Speed: 10
0.016655 0.003849 0.001171
0.033447 0.002731 0.000212
0.050015 0.012576 0.000894
0.066670 0.021701 0.000596
0.083307 0.025615 0.000478
0.100090 0.010520 0.002052
0.118201 0.007511 0.000697
0.132283 0.011235 0.001362
0.150123 0.014386 0.000848
0.166617 0.072127 0.004308
0.183361 0.084711 0.000808
0.200040 0.114544 0.002344
0.216654 0.140000 0.002358
0.233261 0.160698 0.002209
0.250070 0.187430 0.003188
0.268498 0.143711 0.001925
0.283349 0.139332 0.002701
0.299841 0.151203 0.003721
0.316690 0.132880 0.000837
0.333256 0.109384 0.001389
0.349904 0.115038 0.003356
0.366549 0.120417 0.002808
0.383313 0.088384 0.000514
0.399832 0.072088 0.001313
0.416635 0.084546 0.003401
0.433234 0.112484 0.003612
0.449913 0.107779 0.001214
0.466636 0.129877 0.003165
0.483269 0.131582 0.001717
0.499863 0.114618 0.000421
0.516527 0.129781 0.003374
0.533248 0.150101 0.003573
0.549890 0.140716 0.000893
0.566458 0.168185 0.004303
0.583346 0.176124 0.002385
0.599857 0.143018 0.001030
0.616537 0.149265 0.003592
0.633204 0.152159 0.002861
0.650193 0.138101 0.001476
0.666434 0.136039 0.002652
0.683222 0.149891 0.003575
0.699725 0.117086 0.000333
0.716513 0.116931 0.002963
0.735460 0.117865 0.002627
0.749818 0.117486 0.002148
0.766383 0.127244 0.002901
0.783075 0.153965 0.003888
0.799808 0.113006 0.001555
0.816405 0.088423 0.001324
0.833004 0.104682 0.003805
0.849812 0.117197 0.002829
0.866414 0.129430 0.002511
0.883018 0.148087 0.003005
0.899595 0.148366 0.001594
0.916416 0.122783 0.000259
0.933043 0.127854 0.002933
0.949633 0.144730 0.003583
0.966360 0.124081 0.000381
0.982960 0.143893 0.004007
0.999555 0.166775 0.003654
1.016349 0.121123 0.001718
1.032963 0.109349 0.002160
1.049618 0.124215 0.003828
1.066362 0.120942 0.002217
1.082933 0.143786 0.003818
1.099552 0.176541 0.004121
1.116315 0.154780 0.000205
1.132981 0.143610 0.001725
1.149587 0.130105 0.001779
1.166129 0.118723 0.001943
1.182985 0.111099 0.002241
1.199594 0.122666 0.003301
1.216256 0.140943 0.003361
1.232949 0.131714 0.000987
1.249677 0.118126 0.001164
1.266213 0.115113 0.002205
1.282932 0.119553 0.002593
1.299497 0.114498 0.001634
1.316245 0.128261 0.003184
1.332862 0.125786 0.001569
1.349572 0.127785 0.002153
1.366120 0.123648 0.001740
1.382795 0.125073 0.002363
1.399519 0.147912 0.003806
1.416182 0.145151 0.001479
1.432785 0.138303 0.001608
1.449594 0.138625 0.002541
1.466179 0.138206 0.002362
1.482759 0.124622 0.001469
1.499484 0.133675 0.003210
1.516221 0.138623 0.002571
1.532828 0.134776 0.001998
1.549440 0.117843 0.001464
1.566103 0.103411 0.001453
1.582842 0.101759 0.002405
1.599355 0.130822 0.004326
1.616168 0.155576 0.003385
1.632771 0.145001 0.000787
1.649392 0.137381 0.001852
1.666093 0.137126 0.002379
1.682750 0.127641 0.001660
1.699315 0.123650 0.002232
1.716181 0.120946 0.002198
1.732796 0.118860 0.002140
1.749354 0.131785 0.003187
1.765927 0.131471 0.001875
1.782757 0.110054 0.000462
1.799337 0.107497 0.002325
1.816067 0.120757 0.003227
1.832751 0.115559 0.001406
1.849437 0.135215 0.003482
1.865960 0.136032 0.001797
1.882706 0.143551 0.002524
1.899385 0.111878 0.000519
1.916061 0.127454 0.003920
1.932782 0.127905 0.002077
1.949392 0.143544 0.003244
1.965933 0.148070 0.002178
1.982601 0.150217 0.002356
1.999376 0.153174 0.002425
2.016016 0.144943 0.001722
2.032621 0.149705 0.002891
2.049407 0.141501 0.001784
2.065948 0.135895 0.002224
2.082559 0.123454 0.001731
2.099296 0.115715 0.002098
2.116022 0.108743 0.001965
2.132630 0.108073 0.002251
2.149260 0.126004 0.003438
2.165893 0.137369 0.002574
2.182597 0.132495 0.001312
2.199158 0.150506 0.003421
2.216107 0.133258 0.000950
2.232580 0.146819 0.003450
2.249244 0.141183 0.001761
2.265904 0.153958 0.003328
2.282600 0.148252 0.001719
2.299129 0.139830 0.001893
2.316032 0.125881 0.001740
2.332605 0.128147 0.002848
2.349279 0.123733 0.002031
2.365745 0.122367 0.002277
