seed 70a266fb88669f73
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
1.366314 0.105056 0.003251
1.399692 0.068548 0.003056
1.433132 0.053591 0.002391
1.466280 0.105911 0.003746
1.499656 0.075308 0.001741
1.533008 0.084845 0.002989
1.566243 0.115230 0.003808
1.599635 0.078805 0.001897
1.632969 0.103159 0.004007
1.666228 0.038210 0.000855
1.699839 0.086136 0.003934
1.733673 0.099965 0.002546
1.766219 0.104832 0.003294
1.799631 0.132080 0.004055
1.833187 0.089396 0.002945
1.866242 0.069825 0.002816
1.899641 0.052511 0.002088
1.933069 0.126768 0.004405
1.966236 0.123946 0.002953
1.999605 0.055078 0.001635
2.032788 0.026022 0.002023
2.066056 0.110766 0.004101
2.099425 0.107038 0.002105
2.132714 0.112457 0.003726
2.166192 0.029238 0.001020
2.199343 0.058828 0.002571
2.232738 0.128055 0.004187
2.266040 0.169498 0.003943
2.299324 0.136903 0.003756
2.332688 0.058278 0.002553
2.366043 0.036717 0.000560
2.399297 0.117588 0.005183
2.432913 0.186265 0.003861
2.466347 0.065226 0.001158
2.499660 0.034654 0.003357
2.532946 0.071248 0.002875
2.566314 0.175183 0.005071
2.599646 0.150482 0.003264
2.633073 0.010915 0.001157
2.666327 0.066990 0.003610
2.700231 0.100274 0.002757
2.734044 0.149400 0.004032
2.766319 0.128676 0.003116
2.801712 0.071138 0.003108
2.832575 0.071121 0.002570
2.866039 0.108573 0.003827
2.899332 0.131255 0.003502
2.932544 0.074362 0.002215
2.965874 0.017805 0.001696
2.999237 0.175419 0.006869
3.032524 0.189045 0.003699
3.065839 0.050482 0.001569
3.099215 0.024624 0.001582
3.132468 0.134376 0.005666
3.165845 0.190879 0.003739
3.199143 0.125238 0.003260
3.232429 0.052395 0.002500
3.265831 0.080065 0.003931
3.299270 0.150624 0.004476
3.332495 0.137823 0.003245
3.365690 0.085864 0.003034
3.399082 0.115682 0.004750
3.432324 0.099655 0.002745
3.465646 0.085959 0.003143
3.499054 0.041561 0.001513
3.532405 0.136542 0.005346
3.565645 0.153347 0.003470
3.599001 0.118367 0.003559
3.632364 0.077826 0.003214
