seed 92ba159995c2e676
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.199169 0.013765 0.000558
3.215828 0.012116 0.000539
3.232358 0.041522 0.001570
3.249220 0.026633 0.001771
3.265692 0.012535 0.000583
3.282800 0.005801 0.000528
3.299140 0.005379 0.000410
3.315812 0.005643 0.000520
3.332376 0.003327 0.000782
3.349171 0.012061 0.000732
3.365766 0.031339 0.001385
3.382339 0.008924 0.002825
3.399142 0.009806 0.000713
3.415808 0.009732 0.001180
3.432337 0.016278 0.000513
3.449047 0.004829 0.000890
3.465778 0.005896 0.000322
3.482372 0.008681 0.000427
3.499107 0.000995 0.000528
3.515759 0.017168 0.001318
3.532690 0.011361 0.001214
3.549030 0.004827 0.000347
3.565760 0.009711 0.000571
3.582346 0.022861 0.001739
3.599018 0.040785 0.000552
3.615763 0.009088 0.002405
3.632286 0.003832 0.000314
3.648983 0.002090 0.000594
3.665607 0.002090 0.000000
3.682663 0.009070 0.000284
3.698964 0.023214 0.000718
3.715626 0.021441 0.000542
3.732320 0.013908 0.000325
3.749069 0.024270 0.001378
3.765602 0.020466 0.000257
3.782687 0.013520 0.001078
3.799000 0.014840 0.000210
3.815999 0.017785 0.000369
3.832305 0.009033 0.000812
3.849004 0.011803 0.000770
3.865695 0.011361 0.000806
3.882158 0.001079 0.000559
3.899081 0.008270 0.000225
3.915539 0.021264 0.000539
3.932337 0.024236 0.000396
3.949069 0.035804 0.000782
3.965643 0.036851 0.000162
3.982415 0.014568 0.000978
3.999065 0.003227 0.000199
4.015893 0.005469 0.000495
4.032169 0.018395 0.000517
4.049440 0.029691 0.000481
4.066343 0.018144 0.001687
4.083456 0.026789 0.001506
4.099032 0.014098 0.000606
4.116084 0.019979 0.000740
4.132480 0.006249 0.001277
4.149649 0.014238 0.000471
4.165838 0.017289 0.001163
4.182951 0.019896 0.001039
4.199229 0.022090 0.000684
4.215931 0.022395 0.000215
4.232771 0.014206 0.000292
4.249347 0.004054 0.000266
4.265381 0.006153 0.000323
4.283332 0.016812 0.000660
4.299123 0.016812 0.000000
4.315488 0.023686 0.000293
4.332143 0.016981 0.001050
4.348970 0.018301 0.000335
4.365451 0.036157 0.001349
4.382276 0.017501 0.001358
4.398811 0.008591 0.000048
4.415494 0.023842 0.001331
4.432153 0.005941 0.001842
4.448873 0.010423 0.000671
4.465463 0.009676 0.000568
4.482075 0.009676 0.000000
4.498783 0.010868 0.000102
4.515846 0.009255 0.000631
4.533715 0.009006 0.001113
4.548834 0.005578 0.001279
4.566745 0.020768 0.001538
4.582204 0.029607 0.000452
4.598923 0.009606 0.002211
4.616635 0.009201 0.000963
4.632106 0.027278 0.000821
4.648768 0.029262 0.000610
4.665483 0.044610 0.001177
4.682000 0.011985 0.001880
4.698671 0.006119 0.000606
4.715459 0.009933 0.000493
4.734140 0.019335 0.000151
4.749361 0.014575 0.000385
4.765335 0.022798 0.000810
4.781999 0.015536 0.000634
4.799706 0.009331 0.000315
4.816723 0.014694 0.000782
4.833093 0.007988 0.000267
4.850235 0.004267 0.000106
4.866610 0.006624 0.000598
4.883202 0.008243 0.000298
4.899726 0.011275 0.000778
4.915966 0.016088 0.000932
4.932967 0.002995 0.000869
4.949082 0.008733 0.000556
4.966536 0.018069 0.001841
4.982527 0.014222 0.001053
4.999919 0.019459 0.000787
5.016395 0.014927 0.000272
Speed: 10
0.016781 0.037567 0.000341
0.033367 0.035860 0.000274
0.050017 0.032309 0.000400
0.066716 0.018612 0.000652
0.083421 0.025763 0.001726
0.099956 0.039311 0.000703
0.116737 0.029093 0.001588
0.133406 0.046229 0.003072
0.150051 0.075327 0.000892
0.166737 0.083959 0.000116
0.183409 0.103858 0.001709
0.199989 0.135854 0.002548
0.216644 0.162044 0.002377
0.233384 0.168475 0.001804
0.250014 0.133380 0.000394
0.266596 0.096896 0.000857
0.283414 0.091055 0.002695
0.299952 0.088220 0.002093
0.316649 0.084815 0.001659
0.333382 0.095937 0.002494
0.350023 0.131808 0.003577
0.366562 0.140073 0.001623
0.383243 0.119067 0.001470
0.399968 0.137489 0.003430
0.416612 0.153958 0.003245
0.433151 0.149842 0.001531
0.450000 0.147477 0.002104
