seed dbaef12415b098dd
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.206563 0.031062 0.000263
3.218097 0.045099 0.001073
3.238769 0.048851 0.000582
3.251398 0.025245 0.000143
3.271521 0.015397 0.000521
3.284435 0.019426 0.000271
3.300094 0.021548 0.000316
3.316767 0.015568 0.000133
3.333397 0.033669 0.000881
3.349961 0.053930 0.001397
3.366799 0.010287 0.000976
3.383378 0.020948 0.000368
3.400020 0.020948 0.000000
3.416881 0.015110 0.000016
3.433422 0.003616 0.000198
3.449991 0.057818 0.001531
3.466770 0.024702 0.001030
3.483386 0.011797 0.000396
3.500118 0.027109 0.000889
3.516782 0.058512 0.001749
3.533401 0.044598 0.000518
3.549894 0.020505 0.000398
3.566560 0.060006 0.001556
3.583412 0.010870 0.001067
3.599979 0.058698 0.001574
3.616597 0.058698 0.000000
3.633758 0.041102 0.000544
3.650014 0.009055 0.001253
3.666663 0.029036 0.000810
3.683563 0.046107 0.001399
3.700006 0.070236 0.001333
3.716597 0.006221 0.000839
3.733314 0.006543 0.000179
3.750008 0.061837 0.001522
3.766686 0.021009 0.001069
3.783297 0.021009 0.000000
3.799962 0.011778 0.000535
3.817530 0.031206 0.001739
3.833312 0.023740 0.000863
3.850466 0.022227 0.000278
3.866519 0.010944 0.000323
3.883968 0.010944 0.000000
3.900122 0.016926 0.000516
3.931526 0.018895 0.000758
3.935475 0.018895 0.000000
3.950963 0.004412 0.000462
3.966675 0.017864 0.000380
3.985712 0.016168 0.000169
3.999973 0.005746 0.000251
4.020570 0.000474 0.000089
4.033233 0.000474 0.000000
4.049867 0.007021 0.000241
4.067551 0.011951 0.000381
4.083129 0.011951 0.000000
4.101068 0.007649 0.000152
4.117707 0.008759 0.000472
4.133207 0.038753 0.001060
4.151274 0.048963 0.001609
4.168421 0.012111 0.001053
4.183444 0.031784 0.000584
4.201171 0.011472 0.000166
4.216649 0.011472 0.000000
4.233346 0.017222 0.000467
4.249958 0.018363 0.001359
4.266643 0.048868 0.001189
4.283308 0.043653 0.001341
4.299937 0.039689 0.000418
4.316570 0.027613 0.001038
4.333308 0.013861 0.000789
4.349974 0.046534 0.001309
4.366633 0.028903 0.001373
4.383358 0.034630 0.000600
4.399948 0.021292 0.000485
4.416599 0.007522 0.000379
4.433251 0.048167 0.001223
4.449981 0.017249 0.001226
4.467975 0.083177 0.001987
4.484507 0.048384 0.000340
4.500249 0.041378 0.001894
4.516603 0.076004 0.002058
4.533192 0.040450 0.000149
4.551352 0.018702 0.001058
4.566622 0.018702 0.000000
4.583376 0.017485 0.000217
4.599773 0.017485 0.000000
4.616553 0.028224 0.000876
4.633139 0.020745 0.000383
4.649834 0.008180 0.000267
4.666445 0.056475 0.001464
4.683073 0.040253 0.000383
4.699657 0.013711 0.000553
4.716478 0.046454 0.001068
4.733071 0.027087 0.001415
4.749806 0.014674 0.000313
4.766542 0.045313 0.001250
4.783264 0.021424 0.001289
4.799786 0.050509 0.001323
4.816381 0.012591 0.001020
4.833127 0.014785 0.000223
4.851627 0.050367 0.001424
4.868122 0.041630 0.001781
4.884349 0.025256 0.000576
4.899769 0.072967 0.001311
4.916341 0.021403 0.001403
4.933118 0.035523 0.000799
4.951092 0.008306 0.000565
4.968776 0.014021 0.000353
4.983249 0.024532 0.000721
4.998465 0.010290 0.000519
5.015156 0.011868 0.000165
Speed: 10
0.016666 0.037554 0.000631
0.033398 0.074291 0.001550
0.049986 0.034584 0.001489
0.066578 0.034941 0.000873
0.088075 0.058283 0.000943
0.100080 0.071229 0.002600
0.116713 0.069063 0.000794
0.133275 0.084363 0.001442
0.149957 0.100800 0.001431
0.166565 0.100800 0.000000
0.184262 0.130090 0.003801
0.202740 0.099166 0.001404
0.217604 0.182832 0.002607
0.236093 0.113650 0.000736
0.249825 0.075884 0.000798
0.272460 0.146134 0.003170
0.283174 0.166954 0.002704
0.301106 0.148456 0.002100
0.316389 0.167530 0.002841
0.332948 0.146610 0.002097
0.349700 0.102171 0.001332
0.366369 0.113963 0.002159
0.383164 0.144000 0.003075
0.400157 0.116602 0.001501
0.416488 0.116602 0.000000
0.432966 0.152402 0.003485
0.453316 0.125700 0.001921
0.467460 0.136669 0.004298
0.486710 0.139939 0.002360
0.500645 0.082289 0.000914
0.516464 0.102433 0.002173
0.534034 0.173623 0.003555
0.551010 0.155731 0.002281
0.566376 0.105226 0.001189
0.582985 0.103884 0.001899
0.599582 0.100214 0.001746
0.616385 0.049974 0.000681
0.633023 0.135690 0.003554
0.650001 0.206751 0.003683
0.666330 0.206751 0.000000
0.683010 0.201842 0.005028
0.699583 0.201842 0.000000
0.716210 0.117210 0.001011
0.732922 0.094793 0.002906
0.749571 0.158529 0.003329
0.766203 0.165101 0.002642
0.782990 0.173506 0.002849
0.799536 0.172192 0.002702
0.816155 0.066951 0.000195
0.832978 0.106496 0.002425
0.849684 0.172706 0.003524
0.866252 0.115657 0.001248
0.883053 0.176995 0.003592
0.899644 0.176926 0.002819
0.916157 0.072819 0.000303
0.931648 0.123360 0.002621
0.948473 0.172234 0.003288
0.965206 0.119653 0.001431
0.981826 0.219677 0.004570
0.998416 0.132027 0.001030
1.020793 0.111342 0.001795
1.031841 0.119486 0.002383
1.048487 0.146921 0.002802
1.065169 0.121735 0.001757
1.083973 0.113163 0.002091
1.100567 0.149820 0.002924
1.119525 0.123392 0.001756
1.135488 0.104721 0.001767
1.149442 0.104721 0.000000
1.169937 0.147265 0.003372
1.187778 0.136010 0.004116
1.200503 0.144125 0.001964
1.216251 0.143166 0.002497
1.233007 0.143166 0.000000
1.249597 0.153941 0.004696
1.266292 0.153941 0.000000
1.283015 0.155303 0.004965
1.299574 0.155303 0.000000
1.316187 0.118984 0.003131
1.335790 0.151915 0.002860
1.351484 0.149757 0.002655
1.366035 0.191681 0.003492
1.382730 0.094711 0.001049
1.399403 0.082603 0.001445
1.415996 0.138153 0.003146
1.432685 0.159835 0.002788
1.449579 0.159835 0.000000
1.466088 0.177058 0.005640
1.482886 0.171321 0.002650
1.499529 0.069324 0.001025
1.516141 0.107913 0.002433
1.532520 0.127939 0.002787
1.549433 0.154146 0.002874
1.566021 0.173098 0.002952
1.582699 0.191308 0.003170
1.599357 0.122104 0.001358
1.615960 0.122104 0.000000
1.632801 0.082552 0.002678
1.651729 0.116971 0.002440
1.666103 0.132576 0.002681
1.683559 0.178674 0.002945
1.699446 0.178674 0.000000
1.716259 0.146946 0.002336
1.737776 0.112596 0.002378
1.749485 0.177937 0.003624
1.766089 0.147073 0.001909
1.782864 0.193774 0.003586
1.799384 0.182738 0.002738
1.816161 0.075404 0.000331
1.832716 0.127661 0.002949
1.849461 0.162272 0.003023
1.866044 0.185146 0.003173
1.882760 0.168621 0.002572
1.899355 0.134999 0.001974
1.916134 0.134999 0.000000
1.933120 0.102208 0.001680
1.951760 0.132781 0.005147
1.966022 0.166820 0.003193
1.982808 0.133522 0.001928
1.999412 0.090295 0.001195
2.016133 0.090295 0.000000
2.032843 0.069380 0.001938
2.049431 0.157970 0.005702
2.066012 0.200937 0.003707
2.082761 0.128046 0.001640
2.099439 0.086414 0.001441
2.116023 0.115586 0.002437
2.133862 0.128624 0.002389
2.150269 0.119543 0.001917
2.166157 0.197634 0.003957
2.190614 0.139869 0.001529
2.201383 0.161579 0.002902
2.216549 0.103759 0.001336
2.234803 0.130561 0.002666
2.249164 0.119901 0.001943
2.265797 0.136358 0.002474
2.282414 0.209562 0.004063
