seed 32e1d266378ee988
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.199019 0.007113 0.000983
3.215741 0.003517 0.000336
3.232399 0.004262 0.000478
3.249008 0.007363 0.000885
3.265678 0.010096 0.000430
3.282369 0.007004 0.000386
3.299146 0.011675 0.000728
3.315627 0.008996 0.001611
3.332544 0.004520 0.000801
3.348969 0.018509 0.001071
3.365690 0.010587 0.000923
3.384166 0.012400 0.000472
3.400681 0.016540 0.001221
3.415628 0.013738 0.001360
3.432293 0.020235 0.000142
3.449068 0.029122 0.000821
3.465609 0.017721 0.000857
3.485574 0.020696 0.000755
3.498921 0.007302 0.000927
3.515625 0.015365 0.001575
3.532157 0.003008 0.000951
3.549000 0.008281 0.000339
3.569218 0.005602 0.000438
3.582619 0.005095 0.000711
3.600637 0.008441 0.000901
3.615754 0.006921 0.001271
3.632334 0.011711 0.001639
3.648883 0.012987 0.001165
3.668135 0.009137 0.001825
3.682271 0.010328 0.001446
3.698808 0.011171 0.001079
3.715575 0.001971 0.001115
3.733368 0.007626 0.000963
3.748847 0.013426 0.000886
3.768819 0.009949 0.001690
3.782202 0.024944 0.000787
3.798865 0.008822 0.001618
3.815595 0.002949 0.000281
3.832259 0.002651 0.000086
3.848818 0.010621 0.000434
3.865387 0.010078 0.000299
3.882198 0.013466 0.000402
3.899037 0.012815 0.002032
3.915502 0.012069 0.000720
3.932330 0.011611 0.000228
3.948876 0.019054 0.000907
3.965553 0.003044 0.001115
3.982132 0.010263 0.000363
3.998908 0.018791 0.000336
4.015511 0.021297 0.000117
4.032308 0.035413 0.001077
4.048848 0.012569 0.001648
4.065504 0.005507 0.000207
4.082118 0.005510 0.000432
4.100094 0.006283 0.000445
4.115502 0.021920 0.001170
4.133361 0.031574 0.000518
4.148887 0.023287 0.000922
4.166738 0.008391 0.000847
4.182052 0.005537 0.000406
4.198882 0.014844 0.000170
4.215383 0.009936 0.001145
4.232207 0.004293 0.000740
