seed 01fdaa37c4295026
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
1.366307 0.098372 0.002389
1.399618 0.063291 0.002848
1.432993 0.116875 0.004392
1.466234 0.117146 0.003001
1.499584 0.009965 0.000385
1.533007 0.113096 0.005451
1.566198 0.107509 0.001936
1.599539 0.141161 0.004634
1.632953 0.052379 0.001718
1.666207 0.057588 0.003096
1.699573 0.109966 0.003695
1.732880 0.150559 0.003967
1.766196 0.111658 0.003180
1.799658 0.057567 0.002585
1.832959 0.075255 0.003403
1.866279 0.134065 0.004183
1.899587 0.113024 0.002782
1.932948 0.078564 0.002944
1.966144 0.092860 0.003571
1.999429 0.180815 0.005831
2.032843 0.087317 0.001360
2.066228 0.012813 0.001994
2.099417 0.121808 0.005221
2.132807 0.184456 0.004365
2.166148 0.065915 0.001089
2.199539 0.054528 0.003829
2.232731 0.128566 0.004439
2.272205 0.052414 0.000443
2.299354 0.166889 0.005250
2.333048 0.116844 0.001679
2.366081 0.045173 0.002343
2.399351 0.106574 0.004768
2.432715 0.169095 0.004692
2.466108 0.076848 0.001537
2.499236 0.053490 0.003272
2.532625 0.058376 0.002390
2.566017 0.140108 0.004592
2.599465 0.104411 0.002144
2.632757 0.049009 0.002245
2.666097 0.067371 0.003194
2.699544 0.121484 0.003781
2.732765 0.163847 0.004632
2.769570 0.078986 0.001905
2.800318 0.043420 0.002464
2.832731 0.119098 0.004403
2.866051 0.173644 0.004494
2.899432 0.084751 0.001992
2.932707 0.025709 0.002351
2.966044 0.091750 0.004131
2.999485 0.098109 0.002229
3.032616 0.080093 0.002628
3.065973 0.099967 0.003641
3.106707 0.080605 0.002772
3.139006 0.099977 0.003448
3.165945 0.202410 0.005228
3.199351 0.102644 0.001430
3.232709 0.069767 0.003636
3.266015 0.076853 0.003326
3.299484 0.140170 0.004440
3.332682 0.105432 0.002465
3.366008 0.067513 0.002817
3.400428 0.076281 0.003320
3.432757 0.153771 0.004826
3.466004 0.100981 0.002043
3.500307 0.079547 0.003724
3.532770 0.070106 0.002313
3.565977 0.113852 0.004193
3.599331 0.150137 0.003902
3.632739 0.084497 0.002589
3.665979 0.061886 0.002885
3.699296 0.123928 0.004568
3.733514 0.109812 0.002600
3.765913 0.105974 0.003675
3.799303 0.084903 0.002937
3.832647 0.126882 0.004527
3.865963 0.084425 0.002142
3.900463 0.037867 0.002008
3.932715 0.102430 0.003944
3.965847 0.078186 0.001584
4.000276 0.122586 0.004598
4.032611 0.106633 0.002844
4.065791 0.095950 0.003545
4.099037 0.070611 0.002383
4.132482 0.072511 0.002907
4.165874 0.138325 0.004498
4.199074 0.079757 0.001645
