seed df4f5a51c4b639ac
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.198705 0.033386 0.000697
3.215365 0.024565 0.000752
3.231975 0.029309 0.001304
3.248716 0.016791 0.000965
3.265314 0.013539 0.001009
3.281982 0.024498 0.001439
3.298707 0.030221 0.000828
3.315328 0.036129 0.000239
3.332029 0.028132 0.000993
3.348608 0.024259 0.000360
3.365427 0.011824 0.000982
3.381951 0.008472 0.000165
3.398542 0.009248 0.001791
3.415347 0.013096 0.001669
3.431954 0.010792 0.001535
3.448561 0.008006 0.000289
3.465294 0.016835 0.001556
3.481960 0.018693 0.000524
3.498556 0.024555 0.000565
3.515303 0.008430 0.001999
3.531967 0.013674 0.001270
3.548579 0.007718 0.001318
3.567167 0.014196 0.001466
3.581935 0.012612 0.001240
3.598512 0.005341 0.001632
3.615174 0.006143 0.002001
3.631976 0.006609 0.000392
3.650635 0.003907 0.000988
3.665283 0.017313 0.001152
3.681960 0.011283 0.001159
3.698579 0.012887 0.000390
3.715179 0.007497 0.001628
3.731898 0.008831 0.001130
3.748633 0.005271 0.001007
3.765216 0.005271 0.000000
3.781796 0.007326 0.000303
3.798611 0.009059 0.000317
3.815226 0.012971 0.000454
3.831825 0.013610 0.000183
3.848591 0.013823 0.000066
3.866018 0.014517 0.000420
3.881849 0.007309 0.000693
3.901262 0.008933 0.001030
3.915600 0.003897 0.001894
3.931923 0.009340 0.000823
3.948666 0.006134 0.000627
3.965432 0.015681 0.001103
3.981917 0.018062 0.000146
3.998620 0.014562 0.000401
4.015284 0.008423 0.000498
4.032049 0.010458 0.000776
4.048507 0.005713 0.000336
4.065331 0.001270 0.000282
4.081897 0.016347 0.002200
4.098607 0.009613 0.002638
4.115337 0.011493 0.001121
4.131991 0.005088 0.001301
4.148618 0.006767 0.000322
4.165227 0.020358 0.001515
4.181856 0.012328 0.001331
4.198556 0.012878 0.000722
4.215103 0.009910 0.000753
4.232091 0.002295 0.000546
4.248491 0.007842 0.001376
4.265528 0.009238 0.000635
4.281916 0.001940 0.000873
4.298647 0.004843 0.000514
4.315127 0.008128 0.000736
4.331906 0.001831 0.001125
4.348511 0.013091 0.001048
4.365622 0.013091 0.000000
4.382138 0.025544 0.000850
4.398754 0.035884 0.000821
4.415108 0.025753 0.001365
4.431986 0.020336 0.000790
4.448443 0.014147 0.002401
4.465037 0.009983 0.002443
4.481679 0.018180 0.001738
4.498429 0.021379 0.000596
4.515024 0.014849 0.000952
4.531697 0.011159 0.000254
4.548444 0.010192 0.000302
4.565032 0.009906 0.000175
4.582822 0.003999 0.000667
4.598193 0.010282 0.000398
4.615047 0.026275 0.001369
4.631680 0.025682 0.001029
4.648360 0.023012 0.000208
4.665111 0.008127 0.001220
4.683166 0.009165 0.001574
4.698422 0.006185 0.000435
4.715323 0.008578 0.000385
4.731625 0.015268 0.000130
4.748212 0.029225 0.001042
4.764986 0.040099 0.000629
4.782012 0.036827 0.000942
4.798226 0.044324 0.001076
4.814852 0.031654 0.001203
4.831839 0.026385 0.000849
4.848757 0.008977 0.000848
4.865636 0.014406 0.000858
4.881770 0.011993 0.001445
4.898631 0.020303 0.000621
4.914866 0.026634 0.000525
4.931744 0.022397 0.000887
4.948269 0.013724 0.000512
4.964864 0.007429 0.000269
4.981601 0.006478 0.000693
4.998214 0.009036 0.001415
5.014895 0.009437 0.001035
Speed: 10
0.016685 0.008571 0.000303
0.034696 0.015245 0.000616
0.049963 0.017664 0.000226
0.066613 0.025017 0.000644
0.083320 0.018918 0.000883
0.100072 0.016662 0.000438
0.116559 0.010986 0.000147
0.133436 0.017761 0.002601
0.149970 0.060816 0.002922
0.166647 0.106980 0.001528
0.183317 0.132948 0.000154
0.200241 0.165647 0.002525
0.216581 0.204865 0.003829
0.234685 0.211312 0.000545
0.250684 0.194979 0.000309
0.266495 0.180836 0.002554
0.283221 0.168006 0.002705
0.299874 0.142146 0.001504
0.316650 0.110546 0.001020
0.333165 0.095020 0.002835
0.349928 0.076534 0.001505
0.366578 0.066549 0.001997
0.383251 0.080119 0.003773
0.400038 0.092443 0.002132
0.416664 0.104363 0.001840
0.433234 0.109874 0.001258
0.450064 0.111250 0.001289
0.466571 0.109245 0.001341
0.483306 0.116002 0.002527
0.499867 0.134767 0.003431
0.516544 0.141967 0.001675
0.533140 0.143002 0.001622
0.549725 0.135847 0.001442
0.566505 0.132715 0.002206
0.583117 0.137792 0.003104
0.599545 0.131424 0.001593
0.616383 0.132706 0.002928
0.632953 0.124799 0.001476
0.649553 0.112389 0.001327
0.666296 0.109047 0.002495
0.685892 0.098718 0.001311
0.699530 0.105496 0.003212
0.716225 0.102542 0.001302
0.735297 0.109337 0.002518
0.750482 0.112702 0.001922
0.766230 0.112797 0.001653
0.782953 0.118537 0.002327
0.799601 0.114298 0.001106
0.816251 0.111144 0.001558
0.832972 0.130884 0.004309
0.849566 0.134743 0.001352
0.866277 0.136884 0.001903
0.889423 0.150014 0.003049
0.899790 0.146607 0.001542
0.916201 0.140686 0.001701
0.932805 0.136985 0.002228
0.949582 0.136819 0.002632
0.966213 0.130598 0.001882
0.982834 0.126342 0.002569
0.999556 0.126520 0.002510
1.016193 0.135660 0.002921
1.032945 0.122507 0.000554
1.049723 0.134823 0.003007
1.066388 0.133595 0.001466
1.082817 0.126193 0.001742
1.102136 0.132657 0.003015
1.116356 0.133051 0.002074
1.135779 0.143737 0.003119
1.149604 0.126464 0.000247
1.166136 0.129641 0.002819
1.182953 0.122570 0.001511
1.199390 0.105372 0.000974
1.216159 0.111230 0.003621
1.232752 0.117303 0.002511
1.249326 0.118062 0.001667
1.266131 0.126310 0.002629
1.282749 0.133020 0.002194
1.299382 0.119337 0.000221
1.315957 0.129001 0.003596
1.332731 0.138418 0.002730
1.349334 0.137982 0.001560
1.366114 0.125308 0.001170
1.382675 0.121582 0.002412
1.399415 0.121775 0.002552
1.423541 0.119074 0.001906
1.436302 0.129712 0.003293
1.449523 0.140599 0.003256
1.466166 0.141500 0.001873
1.483103 0.127803 0.000670
1.499473 0.125722 0.002735
1.516107 0.117554 0.001726
1.532621 0.123747 0.003187
1.549455 0.135284 0.003103
1.566066 0.132566 0.001451
1.582733 0.119729 0.001146
1.599369 0.116209 0.002418
1.616167 0.107097 0.001480
1.632632 0.106651 0.002427
1.649584 0.119505 0.003354
1.669228 0.124335 0.001888
1.682653 0.117148 0.000739
1.699485 0.118208 0.002782
1.716066 0.120625 0.002314
1.732768 0.124673 0.002213
1.749341 0.141744 0.003691
1.766131 0.158171 0.002860
1.782643 0.145613 0.000263
1.799350 0.123648 0.000711
1.816087 0.121232 0.003282
1.832743 0.124779 0.003022
1.849308 0.110583 0.000682
1.866086 0.130534 0.004738
1.882714 0.135679 0.001787
1.899344 0.128911 0.001021
1.916049 0.107732 0.000452
1.932831 0.107170 0.003113
1.949320 0.110581 0.002634
1.965990 0.111855 0.001928
1.982625 0.112671 0.001843
1.999333 0.118009 0.002434
2.015939 0.107664 0.000776
2.032765 0.108859 0.002452
2.049295 0.117928 0.002839
2.065954 0.125797 0.002408
2.082689 0.151358 0.003968
2.099336 0.157099 0.001254
2.116018 0.151681 0.001200
2.132705 0.144031 0.001967
2.149305 0.131125 0.001629
2.166079 0.125660 0.002594
2.182463 0.122578 0.002425
2.199339 0.126634 0.002974
2.215923 0.122905 0.001586
2.232552 0.103488 0.000424
2.249259 0.091165 0.001712
2.265936 0.090256 0.002669
2.282476 0.101715 0.003134
2.299331 0.109227 0.001900
2.315880 0.128548 0.003121
2.332603 0.124648 0.000453
2.349155 0.125770 0.001984
2.366047 0.132238 0.002668
2.382445 0.146732 0.003234
2.399198 0.146025 0.001345
2.415896 0.157896 0.003365
2.432519 0.160885 0.002154
2.449232 0.152857 0.001434
2.465967 0.141556 0.001742
2.482467 0.140826 0.003139
2.499179 0.130024 0.001580
2.515864 0.129054 0.002829
2.532772 0.123810 0.001970
2.549131 0.118391 0.002185
2.566092 0.108585 0.001478
2.582428 0.105223 0.002068
2.599433 0.109783 0.002740
2.615745 0.093751 0.000266
2.632646 0.098180 0.003227
2.649092 0.115767 0.003594
2.665869 0.129578 0.002138
2.682432 0.135860 0.001526
2.699378 0.137497 0.001629
2.715704 0.138724 0.001980
2.732665 0.137269 0.001958
2.749109 0.144715 0.003021
2.765783 0.149179 0.002559
2.782306 0.120498 0.000950
2.799362 0.118866 0.003474
2.815714 0.107500 0.001511
2.832338 0.109029 0.003019
2.848993 0.115284 0.002654
2.865736 0.132947 0.003385
2.882251 0.127381 0.000750
2.899060 0.126585 0.002539
2.915639 0.134707 0.002969
2.932280 0.127409 0.001011
2.949036 0.120954 0.001872
2.965671 0.127036 0.003056
2.982327 0.121693 0.001364
2.999190 0.121693 0.000000
3.015870 0.122410 0.005197
3.032376 0.100963 0.000194
3.048940 0.087680 0.001654
3.065808 0.083691 0.002400
3.082339 0.107906 0.004631
3.099075 0.108160 0.000666
3.115703 0.105401 0.001084
3.132373 0.118225 0.003105
3.148958 0.117820 0.001552
3.165913 0.125617 0.002545
3.182310 0.132243 0.002169
3.199030 0.141959 0.002576
3.215554 0.157337 0.003095
3.232366 0.128397 0.001564
3.248938 0.117472 0.002390
3.265672 0.111831 0.002584
3.282326 0.105233 0.001933
3.299005 0.107444 0.002666
3.315518 0.112354 0.002392
3.332453 0.113444 0.002201
3.349041 0.101417 0.000426
3.368800 0.105778 0.003155
3.382166 0.105880 0.001926
3.398854 0.114780 0.002690
3.415417 0.110152 0.000909
3.432194 0.115942 0.002505
3.448768 0.111128 0.001234
3.465637 0.108800 0.001789
3.482050 0.122545 0.003618
3.498915 0.127392 0.001811
3.515392 0.138273 0.002743
3.532034 0.140781 0.001703
3.548740 0.140985 0.001895
3.565429 0.134913 0.001582
3.581979 0.124933 0.001760
3.598656 0.122558 0.002395
3.615328 0.125071 0.002710
3.632022 0.132266 0.002771
3.648519 0.129908 0.001655
3.665319 0.125803 0.001861
3.681943 0.120196 0.001727
3.698650 0.115140 0.001952
3.715292 0.107375 0.001639
3.732003 0.109857 0.002725
3.748534 0.114932 0.002339
3.765375 0.131548 0.003309
3.781904 0.114533 0.000685
3.798625 0.115704 0.002698
3.815184 0.109901 0.001509
3.832140 0.111461 0.002538
3.848608 0.128003 0.003494
3.865298 0.141788 0.002401
3.882031 0.135158 0.000936
3.898709 0.138383 0.002596
3.915235 0.121938 0.000458
3.932051 0.117832 0.002657
3.948617 0.124392 0.003143
3.965294 0.133118 0.002672
3.982004 0.130126 0.001272
3.998721 0.122958 0.001329
4.015311 0.123851 0.002563
4.031976 0.115560 0.001376
4.048668 0.109728 0.002054
4.065296 0.112580 0.002640
4.082091 0.108472 0.001436
4.098846 0.102156 0.001504
4.115282 0.096004 0.001536
4.132059 0.092376 0.001910
4.148587 0.098486 0.002461
4.165194 0.105297 0.002089
4.181828 0.114122 0.002129
4.198648 0.119680 0.001721
4.215240 0.131738 0.002622
4.232209 0.138764 0.002335
4.249419 0.147131 0.002302
4.265467 0.139095 0.000933
4.283600 0.134617 0.002067
4.298580 0.131067 0.002224
4.316164 0.131736 0.002450
4.332236 0.145822 0.003577
4.348454 0.138351 0.000771
4.365373 0.122753 0.001031
4.381835 0.113935 0.002140
4.398691 0.113451 0.002912
4.415188 0.119741 0.002868
4.432143 0.112277 0.000902
4.448392 0.116925 0.002671
4.465350 0.105044 0.000672
4.481730 0.099863 0.001782
4.498372 0.100625 0.002111
4.514963 0.097594 0.001351
4.531764 0.102161 0.002394
4.548343 0.109831 0.002218
4.565008 0.117081 0.002094
4.581695 0.113940 0.001363
4.598360 0.120078 0.002430
4.615115 0.128305 0.002478
4.631883 0.136525 0.002538
4.648437 0.152300 0.003135
4.665102 0.142384 0.000268
4.681697 0.144572 0.002731
4.698544 0.134609 0.001295
4.715046 0.115779 0.000973
4.731759 0.120167 0.003542
4.748422 0.114600 0.001643
4.765233 0.112326 0.002672
4.781666 0.110339 0.001735
4.798657 0.111700 0.002225
4.815067 0.113164 0.001895
4.831881 0.110376 0.001911
4.848366 0.118040 0.002260
4.865550 0.131577 0.003336
4.881689 0.149733 0.002690
4.898661 0.145243 0.000475
4.915016 0.148335 0.002435
4.934070 0.148547 0.002179
4.948294 0.138526 0.001408
4.965030 0.128917 0.001673
4.982443 0.142768 0.004779
5.003371 0.127196 0.000450
Speed: 20
0.016626 0.012900 0.001723
0.033587 0.027847 0.000833
0.049841 0.023884 0.000822
0.066792 0.018270 0.000356
0.083225 0.016704 0.000365
0.099776 0.021398 0.000950
0.116377 0.047253 0.002707
0.135160 0.076504 0.002050
0.149828 0.134505 0.004786
0.168800 0.181428 0.002786
0.183180 0.243243 0.004893
0.201938 0.286391 0.003214
0.217432 0.335820 0.005420
0.234647 0.378301 0.005395
0.252369 0.396641 0.004327
0.266515 0.396641 0.000000
0.283134 0.436316 0.011012
0.299650 0.421646 0.003351
0.316388 0.387632 0.004324
0.332908 0.364077 0.006152
0.349727 0.330440 0.005418
0.366217 0.311397 0.005559
0.382922 0.292407 0.005438
0.399650 0.273345 0.005003
0.416655 0.276247 0.006791
0.433100 0.267720 0.004191
0.449836 0.259007 0.004285
0.466563 0.261835 0.005321
0.483261 0.277824 0.006228
0.499752 0.299184 0.005863
0.516638 0.317070 0.005104
0.533173 0.337283 0.005706
0.549738 0.349401 0.005071
0.566402 0.363976 0.005977
0.583142 0.371289 0.005478
0.599810 0.377095 0.005907
0.616499 0.353009 0.003208
0.633054 0.349066 0.006652
0.649791 0.352128 0.006708
0.666472 0.341648 0.004806
0.683060 0.315155 0.003684
0.699631 0.326588 0.008260
0.716372 0.314416 0.004218
0.733039 0.319255 0.006493
0.750028 0.307008 0.004392
0.767995 0.315404 0.005923
0.783062 0.318857 0.005445
0.799690 0.321421 0.004975
0.816235 0.340287 0.007949
0.833011 0.336619 0.003811
0.849903 0.346388 0.006363
0.866232 0.338214 0.004329
0.883041 0.325955 0.004668
0.899583 0.330185 0.006776
0.916201 0.319125 0.004853
0.932865 0.316885 0.005220
0.949615 0.321510 0.006080
0.966166 0.315395 0.004777
0.982851 0.317828 0.005780
0.999605 0.323326 0.005875
1.016216 0.330512 0.006218
1.032838 0.332770 0.005243
1.049535 0.329125 0.004448
1.068324 0.334615 0.006284
1.082816 0.333026 0.005057
1.103424 0.337019 0.006036
1.116278 0.334221 0.005102
1.133082 0.323295 0.004659
1.149647 0.330631 0.006807
1.166443 0.329680 0.005289
1.182889 0.343495 0.006864
1.199653 0.329430 0.003429
1.216314 0.309080 0.003979
1.232989 0.309581 0.006946
1.249531 0.307567 0.005388
1.266375 0.319324 0.006715
1.282882 0.343880 0.007183
1.299612 0.333461 0.002935
1.316269 0.337164 0.006117
1.335057 0.332203 0.004908
1.352382 0.337683 0.006306
1.365973 0.343536 0.005997
1.383292 0.329636 0.003845
1.399286 0.334092 0.006654
1.418664 0.324965 0.004725
1.432631 0.335187 0.006911
1.451880 0.326402 0.004249
1.465970 0.314979 0.004657
1.482766 0.324208 0.007080
1.499364 0.311683 0.004122
1.516004 0.323723 0.007150
1.532721 0.317263 0.004219
1.549372 0.304174 0.004142
1.565977 0.300047 0.005683
1.582579 0.303182 0.005701
1.599364 0.294297 0.004200
1.615954 0.303709 0.006398
1.632669 0.301525 0.004441
1.649308 0.316980 0.006631
1.667069 0.329782 0.005607
1.682560 0.331282 0.004494
1.702029 0.327300 0.005449
1.719221 0.316892 0.004905
1.735136 0.346097 0.006368
1.749194 0.362362 0.005041
1.765949 0.365686 0.004629
1.782544 0.370198 0.005683
1.799230 0.363572 0.005010
1.815963 0.370230 0.006985
1.832563 0.353873 0.004292
1.849183 0.342901 0.005576
1.865968 0.341320 0.006541
1.882565 0.325981 0.004631
1.899144 0.318796 0.005922
1.916065 0.307713 0.004941
1.932510 0.293314 0.004757
1.950842 0.295472 0.006230
1.965836 0.281223 0.003819
1.984808 0.293095 0.006911
1.999257 0.302937 0.005407
2.015728 0.302024 0.004248
2.032537 0.322187 0.006706
2.049963 0.323762 0.004972
2.065779 0.324275 0.003790
2.082552 0.334181 0.006194
2.099167 0.330865 0.004724
2.115774 0.337849 0.006205
2.132564 0.327206 0.004426
2.149209 0.317138 0.004489
2.165774 0.314974 0.005986
2.182400 0.303527 0.004444
2.199467 0.295778 0.005106
2.215782 0.290475 0.005177
2.234862 0.288994 0.005254
2.249117 0.300450 0.006362
2.268078 0.298156 0.004303
2.282261 0.304729 0.005492
2.299082 0.312418 0.005450
2.315753 0.310212 0.004445
2.332437 0.325887 0.006809
2.349280 0.336424 0.005396
2.365753 0.331757 0.004178
2.382293 0.336233 0.005896
2.398941 0.344588 0.006152
2.415694 0.349129 0.005602
2.432306 0.340050 0.004402
2.448933 0.323071 0.004403
2.465712 0.332090 0.007703
2.483205 0.309441 0.002987
2.498969 0.296051 0.005349
2.518089 0.304823 0.007132
2.532327 0.282951 0.002934
2.551346 0.286535 0.006290
2.565635 0.299814 0.006282
2.582427 0.309155 0.005143
2.599012 0.309155 0.000000
2.615612 0.309155 0.000000
2.632361 0.339256 0.016705
2.649020 0.349059 0.005653
2.665607 0.345507 0.004582
2.682408 0.336831 0.004923
2.698971 0.330595 0.005410
2.719115 0.323181 0.005390
2.732445 0.318064 0.005491
2.752206 0.301805 0.004737
2.767139 0.321198 0.006976
2.782581 0.313946 0.003572
2.799152 0.308638 0.004773
2.815644 0.324957 0.007245
2.832386 0.303899 0.002436
2.848989 0.311815 0.006936
2.865677 0.318357 0.005693
2.882297 0.307741 0.003834
2.899035 0.332341 0.008155
2.915643 0.315812 0.002492
2.932297 0.321676 0.006437
2.949054 0.334291 0.006430
2.965648 0.330142 0.004408
2.982263 0.328577 0.005520
2.998910 0.331703 0.005882
3.015655 0.328368 0.004945
3.032265 0.330593 0.005836
3.048890 0.331595 0.005420
3.065658 0.316639 0.003967
3.082274 0.309442 0.005358
3.098862 0.304817 0.005411
3.115627 0.328699 0.008051
3.132284 0.330833 0.004425
3.148887 0.327915 0.004968
3.165639 0.327536 0.005451
3.182234 0.315765 0.004240
3.198895 0.316568 0.006118
3.215512 0.310770 0.004912
3.232241 0.299068 0.005133
3.248850 0.306771 0.005412
3.269181 0.314565 0.005591
3.282063 0.331634 0.006355
3.298767 0.338418 0.005361
3.315376 0.337096 0.004694
3.332178 0.326127 0.004379
3.350123 0.335179 0.006375
3.365467 0.338157 0.005312
