seed c89f0fe1a3525e51
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.199031 0.025263 0.000302
3.215631 0.026052 0.000416
3.232238 0.009353 0.000523
3.249063 0.044097 0.000696
3.265984 0.022268 0.000523
3.283182 0.017297 0.000211
3.299263 0.026532 0.000221
3.317429 0.075494 0.001363
3.333451 0.055106 0.001490
3.351572 0.102423 0.000686
3.365811 0.030811 0.000434
3.385623 0.017089 0.001118
3.398856 0.141600 0.002377
3.422419 0.119980 0.000634
3.432321 0.097031 0.001461
3.449193 0.077667 0.000766
3.465592 0.009959 0.000299
3.482384 0.041911 0.001317
3.499587 0.072628 0.001463
3.516979 0.030118 0.000455
3.532936 0.017395 0.000282
3.549419 0.091615 0.001223
3.565643 0.049395 0.000549
3.583025 0.080763 0.000700
3.601928 0.099125 0.001128
3.616335 0.144182 0.000517
3.635140 0.014347 0.000593
3.649765 0.061811 0.000764
3.668289 0.031202 0.000194
3.682374 0.070484 0.001083
3.700511 0.112686 0.001320
3.715382 0.046633 0.001091
3.732158 0.163880 0.001470
3.748700 0.085231 0.000573
3.765350 0.052440 0.000657
3.782108 0.130590 0.001283
3.798775 0.060474 0.000290
3.815326 0.016026 0.001268
3.832056 0.044661 0.000463
3.848747 0.018543 0.000288
3.865374 0.004930 0.000484
3.882212 0.034981 0.000424
3.898848 0.047226 0.001032
3.915411 0.038855 0.000744
3.932005 0.050633 0.000413
3.948676 0.016009 0.000518
3.965569 0.119045 0.001731
3.982119 0.014954 0.001209
3.998873 0.092201 0.000479
4.015465 0.016784 0.000850
4.032256 0.064971 0.000335
